?series	?series_label	?start_time	?end_time	?cast_member	?cast_label
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q550115>	"Anthony Montgomery"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q550778>	"John de Lancie"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q281621>	"John Glover"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q277099>	"Raphael Sbarge"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253977>	"Roxann Dawson"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2642039>	"Alexander Enberg"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2571025>	"Gary Graham"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1964497>	"Nancy Hower"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1891371>	"Manu Intiraymi"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q313671>	"Colm Meaney"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q312570>	"LeVar Burton"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q313671>	"Colm Meaney"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q254038>	"Nichelle Nichols"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q258612>	"Terry Farrell"@en
